UUSERID,FOR_RENT_NUM_LISTINGS,FOR_SALE_NUM_LISTINGS,FOR_RENT_NUM_OF_ENQUIRIES,FOR_SALE_NUM_OF_ENQUIRIES,FOR_RENT_NUM_OF_INSPECTION_COMPLETED,FOR_SALE_NUM_OF_INSPECTION_COMPLETED,FOR_RENT_NUM_OF_INSPECTION_INTENTION,FOR_SALE_NUM_OF_INSPECTION_INTENTION,FOR_RENT_NUM_OF_SHORTLISTED,FOR_SALE_NUM_OF_SHORTLISTED,LABEL
999986451523938209,0,2,0,0,0,0,0,0,0,0,1
999985968814883198,0,1,0,0,0,0,0,0,0,0,1
999985678676188975,13,0,1,0,0,0,0,0,2,0,0
999982064257995591,0,1,0,0,0,0,0,0,0,0,1
999977909466313025,0,21,0,1,0,0,0,0,0,1,1
999977797840298441,0,1,0,0,0,0,0,0,0,0,1
999970089163054756,1,0,0,0,0,0,0,0,0,0,0
99995675315225484,2,0,0,0,0,0,0,0,0,0,0
999955493758679158,0,1,0,0,0,0,0,0,0,0,1
999954617192366887,0,5,0,0,0,0,0,0,0,0,1
99995048225648498,0,1,0,0,0,0,0,0,0,0,1
999949341564190880,0,1,0,0,0,0,0,0,0,0,1
999942285933910662,1,0,0,0,0,0,0,0,0,0,0
999942199140616485,0,46,0,0,0,0,0,0,0,9,1
999940676404615189,6,0,0,0,0,0,0,0,0,0,0
999937066933338279,0,2,0,0,0,0,0,0,0,0,1
999936085081881173,0,2,0,0,0,0,0,0,0,0,1
999935090554776856,0,8,0,0,0,0,0,0,0,0,1
99993505131910714,0,1,0,0,0,0,0,0,0,0,1
999928232296655473,0,12,0,0,0,0,0,0,0,0,1
999918002164390373,27,0,0,0,0,0,0,0,2,0,0
999914310049705370,0,5,0,0,0,0,0,0,0,0,1
999909580694821756,0,1,0,0,0,0,0,0,0,0,1
999907259061052033,0,2,0,0,0,0,0,0,0,0,1
999896536417207406,0,4,0,0,0,0,0,0,0,0,1
999894823209729656,32,0,0,0,0,0,0,0,7,0,0
999890096376100343,0,1,0,0,0,0,0,0,0,0,1
999888543430950935,0,1,0,0,0,0,0,0,0,0,1
999882209910966329,0,25,0,0,0,0,0,0,0,3,1
999878395948544484,0,1,0,0,0,0,0,0,0,0,1
999877659627894607,0,1,0,0,0,0,0,0,0,0,1
99987540616357955,6,3,0,0,0,0,0,0,0,0,0
999872923488981720,1,0,0,0,0,0,0,0,0,0,0
999871928533476332,36,0,0,0,0,0,0,0,2,0,0
999868155922439406,0,2,0,0,0,0,0,0,0,0,1
999858654227456292,1,192,0,0,0,0,0,0,0,4,1
999856052749093761,0,11,0,0,0,0,0,0,0,0,1
999855231877953095,0,1,0,0,0,0,0,0,0,0,1
999852010510618495,0,47,0,0,0,0,0,0,0,5,1
999850781521356653,0,1,0,0,0,0,0,0,0,0,1
999848793950968714,0,22,0,0,0,0,0,0,0,0,1
999844973397958269,0,1,0,0,0,0,0,0,0,0,1
99983689748508421,0,1,0,0,0,0,0,0,0,0,1
999836797754396631,0,1,0,0,0,0,0,0,0,0,1
999834193242892282,19,60,0,0,0,0,0,0,0,2,1
99983044244893870,2,0,0,0,0,0,0,0,0,0,0
999828040673515211,0,13,0,0,0,0,0,0,0,3,1
999824037665133941,0,1,0,0,0,0,0,0,0,0,1
99982224980093869,1,0,0,0,0,0,0,0,0,0,0
999814943904252735,2,0,0,0,0,0,0,0,0,0,0
999814080804918629,1,0,0,0,0,0,0,0,0,0,0
999807567797734994,0,6,0,0,0,0,0,0,0,0,1
999807283022581054,0,4,0,0,0,0,0,0,0,0,1
999805376426968609,0,2,0,0,0,0,0,0,0,0,1
999801928182791697,0,2,0,0,0,0,0,0,0,0,1
999792844921007738,0,5,0,0,0,0,0,0,0,0,1
999788120849437113,0,1,0,0,0,0,0,0,0,0,1
999786750020515123,0,2,0,0,0,0,0,0,0,0,1
999783342464384522,0,1,0,0,0,0,0,0,0,0,1
999779201173893805,2,0,0,0,0,0,0,0,0,0,0
999776420453303947,0,2,0,0,0,0,0,0,0,0,1
999774008461239122,177,55,0,0,0,0,0,0,26,1,0
999772440700062278,0,3,0,0,0,0,0,0,0,0,1
999771852961755362,0,1,0,0,0,0,0,0,0,0,1
999769694037627148,0,5,0,0,0,0,0,0,0,0,1
999769591008366971,0,1,0,0,0,0,0,0,0,0,1
999762288550825432,1,1,0,0,0,0,0,0,0,0,0
999760811416852848,0,1,0,0,0,0,0,0,0,0,1
999760693417495434,0,1,0,0,0,0,0,0,0,0,1
999758683130302104,2,2,0,0,0,0,0,0,0,0,0
999758680761593660,1,10,0,0,0,0,0,0,0,0,1
999750735921564807,0,263,0,0,0,0,0,0,0,0,1
999748725298441272,2,0,0,0,0,0,0,0,0,0,0
99974537057954281,0,1,0,0,0,0,0,0,0,0,1
999743561609431257,0,1,0,0,0,0,0,0,0,0,1
999741759270055471,0,1,0,0,0,0,0,0,0,0,1
999739873289086782,0,1,0,0,0,0,0,0,0,0,1
999736995057530580,0,2,0,0,0,0,0,0,0,0,1
99973657665812557,0,1,0,0,0,0,0,0,0,0,1
999732304755289824,0,3,0,0,0,0,0,0,0,0,1
999730557376282854,0,1,0,0,0,0,0,0,0,0,1
999727431619059040,0,1,0,0,0,0,0,0,0,0,1
999720967124127785,0,1,0,0,0,0,0,0,0,0,1
999719543816936666,1,0,0,0,0,0,0,0,0,0,0
999711894600262373,0,1,0,0,0,0,0,0,0,0,1
99971036326530856,0,1,0,0,0,0,0,0,0,0,1
999706898608887736,1,0,0,0,0,0,0,0,0,0,0
999705993196549825,0,1,0,0,0,0,0,0,0,0,1
999701885350835118,0,1,0,0,0,0,0,0,0,0,1
999699416415102360,0,1,0,0,0,0,0,0,0,0,1
999699149064666420,0,1,0,0,0,0,0,0,0,0,1
999690990091711804,0,83,0,0,0,0,0,0,0,1,1
999684448946277538,0,31,0,0,0,0,0,0,0,0,1
999662804920665124,1,360,0,0,0,0,0,0,0,15,1
999660652327086126,0,94,0,0,0,0,0,0,0,0,1
999660120958028492,3,0,0,0,0,0,0,0,0,0,0
999659333897012387,15,0,0,0,0,0,0,0,0,0,0
999648435785847697,0,1,0,0,0,0,0,0,0,0,1
999643275339094769,0,1,0,0,0,0,0,0,0,0,1
999640884673052789,0,3,0,0,0,0,0,0,0,0,1
999636957770767135,0,1,0,0,0,0,0,0,0,0,1
999634232133309282,13,0,0,0,0,0,0,0,0,0,0
999628067206409018,0,2,0,0,0,0,0,0,0,0,1
999624192330679393,0,4,0,0,0,0,0,0,0,0,1
999617408809777195,36,0,6,0,0,0,0,0,11,0,0
999609588352555852,0,19,0,0,0,0,0,0,0,6,1
999609507770744774,0,1,0,0,0,0,0,0,0,0,1
99960640053563081,0,24,0,0,0,0,0,0,0,0,1
999605584947449492,0,9,0,0,0,0,0,0,0,0,1
999602684080936028,0,3,0,0,0,0,0,0,0,0,1
999599947418996839,0,1,0,0,0,0,0,0,0,0,1
999599031222856782,0,1,0,0,0,0,0,0,0,0,1
999597626640738301,0,4,0,0,0,0,0,0,0,0,1
999595905382877567,0,6,0,0,0,0,0,0,0,0,1
999595185578615703,0,12,0,0,0,0,0,0,0,0,1
999592941351076128,0,1,0,0,0,0,0,0,0,0,1
999581677151195552,0,39,0,0,0,0,0,0,0,0,1
999579500594347403,5,0,0,0,0,0,0,0,0,0,0
999579452387583903,0,21,0,0,0,0,0,0,0,0,1
999577785610665408,0,1,0,0,0,0,0,0,0,0,1
999576949725950224,0,1,0,0,0,0,0,0,0,0,1
999572395083613598,0,1,0,0,0,0,0,0,0,0,1
999571296394342341,7,1,0,0,0,0,0,0,0,0,0
999568085476555567,252,409,0,3,0,0,0,0,6,8,1
999567784184243674,1,0,0,0,0,0,0,0,0,0,0
999566557139053390,0,30,0,0,0,0,0,0,0,1,1
999565684154238352,54,0,0,0,0,0,0,0,2,0,0
999564222193531815,0,23,0,0,0,0,0,0,0,0,1
999554952586283152,7,0,0,0,0,0,0,0,0,0,0
999551582507018874,0,3,0,0,0,0,0,0,0,0,1
999550856352761412,0,21,0,0,0,0,0,0,0,0,1
999550701357130797,0,2,0,0,0,0,0,0,0,0,1
99954903543643452,0,1,0,0,0,0,0,0,0,0,1
999547420559306688,0,2,0,0,0,0,0,0,0,0,1
999545193393348442,0,1,0,0,0,0,0,0,0,0,1
999544973521281555,0,3,0,0,0,0,0,0,0,0,1
99954310500099002,2,0,0,0,0,0,0,0,0,0,0
999542721301140212,0,1,0,0,0,0,0,0,0,0,1
999541206842572856,0,7,0,0,0,0,0,0,0,0,1
999539828305812062,5,0,0,0,0,0,0,0,0,0,0
99953877830896085,10,0,0,0,0,0,0,0,0,0,0
999538716576977951,1,0,0,0,0,0,0,0,0,0,0
999525636737917385,0,5,0,0,0,0,0,0,0,0,1
999525341342456263,0,1,0,0,0,0,0,0,0,0,1
999523491223279623,0,1,0,0,0,0,0,0,0,0,1
999520501387713157,0,38,0,0,0,0,0,0,0,0,1
999515088145899154,3,0,0,0,0,0,0,0,0,0,0
999513386812860589,0,1,0,0,0,0,0,0,0,0,1
999510693215328990,0,1,0,0,0,0,0,0,0,0,1
999507533722102189,25,0,0,0,0,0,0,0,0,0,0
999501994261944786,0,3,0,0,0,0,0,0,0,0,1
999495830539171959,0,1,0,0,0,0,0,0,0,0,1
999490661418573033,0,7,0,0,0,0,0,0,0,0,1
999490508104160183,0,2,0,0,0,0,0,0,0,0,1
999488121803529766,0,5,0,0,0,0,0,0,0,0,1
999486734138723617,0,1,0,0,0,0,0,0,0,0,1
999479124231449223,0,1,0,0,0,0,0,0,0,0,1
999477729077853362,0,1,0,0,0,0,0,0,0,0,1
999474074664831158,3,0,0,0,0,0,0,0,0,0,0
999471410348607458,0,1,0,0,0,0,0,0,0,0,1
999457456060559023,2,3,0,0,0,0,0,0,0,0,1
999455714314838140,0,1,0,0,0,0,0,0,0,0,1
999446682969203602,0,3,0,0,0,0,0,0,0,0,1
999439159656687910,0,2,0,0,0,0,0,0,0,0,1
999438733490091405,0,1,0,0,0,0,0,0,0,0,1
999435199518706463,0,1,0,0,0,0,0,0,0,0,1
999434995582093319,9,0,0,0,0,0,0,0,0,0,0
999431129816133901,0,1,0,0,0,0,0,0,0,0,1
999431104600575072,0,5,0,0,0,0,0,0,0,0,1
999428176707044435,0,2,0,0,0,0,0,0,0,0,1
999416835141418529,0,99,0,0,0,0,0,0,0,4,1
99941669995767990,0,1,0,0,0,0,0,0,0,0,1
999407241741095440,74,0,0,0,0,0,0,0,0,0,0
999406663950002309,0,1,0,0,0,0,0,0,0,0,1
999402894379354439,0,1,0,0,0,0,0,0,0,0,1
999399840068208575,0,5,0,0,0,0,0,0,0,0,1
999397057385767606,0,43,0,7,0,0,0,1,0,5,1
999396926197627104,0,1,0,0,0,0,0,0,0,0,1
99939686776777406,0,2,0,0,0,0,0,0,0,0,1
999395482015254674,0,2,0,0,0,0,0,0,0,0,1
999394106995051665,0,1,0,0,0,0,0,0,0,0,1
999391771034127736,0,3,0,0,0,0,0,0,0,0,1
999389681988975375,0,1,0,0,0,0,0,0,0,0,1
999381559155487321,10,0,0,0,0,0,0,0,0,0,0
999378193080737264,0,1,0,0,0,0,0,0,0,0,1
999377721710057376,0,2,0,0,0,0,0,0,0,0,1
999375965446493649,0,2,0,0,0,0,0,0,0,0,1
999360047679319496,7,0,0,0,0,0,0,0,0,0,0
999358990947104032,0,1,0,0,0,0,0,0,0,0,1
999352500966406840,5,0,0,0,0,0,0,0,0,0,0
999346048786464794,0,14,0,0,0,0,0,0,0,0,1
999343493973788841,1,0,0,0,0,0,0,0,0,0,0
999341492270412814,0,1,0,0,0,0,0,0,0,0,1
999334651877313847,1,0,0,0,0,0,0,0,0,0,0
999332729736136674,0,10,0,0,0,0,0,0,0,0,1
999329830671857603,0,4,0,0,0,0,0,0,0,0,1
99932573144210504,0,1,0,0,0,0,0,0,0,0,1
999323826875857895,0,3,0,0,0,0,0,0,0,0,1
999321839934049998,0,8,0,0,0,0,0,0,0,0,1
999319994563939836,0,4,0,0,0,0,0,0,0,0,1
999318409501300775,6,0,0,0,0,0,0,0,0,0,0
999317459029743703,0,3,0,0,0,0,0,0,0,0,1
999315259758549548,0,13,0,0,0,0,0,0,0,0,1
999314741307479040,0,1,0,0,0,0,0,0,0,0,1
999313066637728618,0,7,0,0,0,0,0,0,0,0,1
999312888017939842,0,36,0,0,0,0,0,0,0,0,1
999306547011361517,0,1,0,0,0,0,0,0,0,0,1
999305905200325348,0,22,0,0,0,0,0,0,0,0,1
999304926503739802,1,0,0,0,0,0,0,0,0,0,0
999303029574401211,0,2,0,0,0,0,0,0,0,0,1
999302529992450167,9,14,0,0,0,0,0,0,0,0,1
999297377317122438,0,1,0,0,0,0,0,0,0,0,1
999294235410248157,0,2,0,0,0,0,0,0,0,0,1
999290292488759188,0,2,0,0,0,0,0,0,0,0,1
999286039933458637,0,2,0,0,0,0,0,0,0,0,1
999283838664263379,3,12,0,0,0,0,0,0,0,0,1
999275184938839389,0,2,0,0,0,0,0,0,0,0,1
999274658848920305,1,0,0,0,0,0,0,0,0,0,0
999269189845289852,0,1,0,0,0,0,0,0,0,0,1
999264543672145555,0,2,0,0,0,0,0,0,0,0,1
999263576613896949,0,3,0,0,0,0,0,0,0,0,1
